2420881 getPopulationofCountry Panama Zone:3 (turnaround time: 244 ms, execution time: 153 ms, waiting time: 91, processed by server 3)
1873246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 183 ms, execution time: 92 ms, waiting time: 91, processed by server 1)
2420881 getPopulationofCountry Panama Zone:3 (turnaround time: 307 ms, execution time: 215 ms, waiting time: 92, processed by server 3)
44135 getPopulationofCountry Greenland Zone:1 (turnaround time: 154 ms, execution time: 62 ms, waiting time: 92, processed by server 1)
57898650 getPopulationofCountry Indonesia Zone:4 (turnaround time: 123 ms, execution time: 30 ms, waiting time: 93, processed by server 4)
2579609 getPopulationofCountry Oman Zone:1 (turnaround time: 216 ms, execution time: 123 ms, waiting time: 93, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 338 ms, execution time: 246 ms, waiting time: 92, processed by server 3)
2579609 getPopulationofCountry Oman Zone:1 (turnaround time: 279 ms, execution time: 186 ms, waiting time: 93, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 401 ms, execution time: 310 ms, waiting time: 91, processed by server 3)
0 getPopulationofCountry  Zone:3 (turnaround time: 91 ms, execution time: 0 ms, waiting time: 91, processed by server 3)
3628180 getPopulationofCountry Uganda Zone:1 (turnaround time: 338 ms, execution time: 244 ms, waiting time: 94, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 461 ms, execution time: 369 ms, waiting time: 92, processed by server 3)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 152 ms, execution time: 61 ms, waiting time: 91, processed by server 5)
